date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,600352,14.58,14.78,14.86,14.57,877025,1290625952.0,2.0,2.14,0.31,2.7,14.736666666666666
2020-01-03,600352,15.02,14.91,15.07,14.8,991258,1481880608.0,1.83,0.88,0.13,3.05,14.926666666666668
2020-01-06,600352,14.73,14.6,14.86,14.51,883914,1298342928.0,2.35,-2.08,-0.31,2.72,14.656666666666666
2020-01-07,600352,14.66,14.64,14.69,14.54,502065,733429440.0,1.03,0.27,0.04,1.54,14.623333333333333
2020-01-08,600352,14.54,14.17,14.55,14.17,849094,1215568352.0,2.6,-3.21,-0.47,2.61,14.296666666666667
2020-01-09,600352,14.31,14.33,14.45,14.25,472745,677539488.0,1.41,1.13,0.16,1.45,14.343333333333334
2020-01-10,600352,14.38,14.36,14.44,14.24,362449,520061392.0,1.4,0.21,0.03,1.11,14.346666666666666
2020-01-13,600352,14.33,14.56,14.56,14.19,448209,645503008.0,2.58,1.39,0.2,1.38,14.436666666666667
2020-01-14,600352,14.55,14.45,14.75,14.43,508653,741912128.0,2.2,-0.76,-0.11,1.56,14.543333333333331
2020-01-15,600352,14.48,14.36,14.48,14.3,314924,452380592.0,1.25,-0.62,-0.09,0.97,14.38
2020-01-16,600352,14.38,14.34,14.54,14.29,303840,437412768.0,1.74,-0.14,-0.02,0.93,14.39
2020-01-17,600352,14.36,14.3,14.46,14.28,280303,402413408.0,1.26,-0.28,-0.04,0.86,14.34666666666667
2020-01-20,600352,14.3,14.38,14.41,14.19,352419,504620672.0,1.54,0.56,0.08,1.08,14.326666666666668
2020-01-21,600352,14.38,13.93,14.38,13.92,587992,828528944.0,3.2,-3.13,-0.45,1.81,14.076666666666668
2020-01-22,600352,13.89,13.87,13.96,13.64,435518,601388944.0,2.3,-0.43,-0.06,1.34,13.823333333333332
2020-01-23,600352,13.75,13.37,13.76,13.17,674947,908548160.0,4.25,-3.6,-0.5,2.07,13.433333333333332
2020-02-03,600352,12.03,12.03,12.03,12.03,258168,310576112.0,0.0,-10.02,-1.34,0.79,12.03
2020-02-04,600352,11.09,11.71,12.17,11.09,989418,1158604624.0,8.98,-2.66,-0.32,3.04,11.656666666666666
2020-02-05,600352,12.2,12.3,12.62,12.13,849934,1047926656.0,4.18,5.04,0.59,2.61,12.35
2020-02-06,600352,12.26,12.4,12.47,12.14,646978,797401424.0,2.68,0.81,0.1,1.99,12.336666666666666
2020-02-07,600352,12.51,12.64,12.67,12.36,708639,888738448.0,2.5,1.94,0.24,2.18,12.556666666666667
2020-02-10,600352,12.61,12.89,12.91,12.51,639783,817514976.0,3.16,1.98,0.25,1.97,12.770000000000001
2020-02-11,600352,12.86,12.72,12.91,12.68,429416,547967808.0,1.78,-1.32,-0.17,1.32,12.770000000000001
2020-02-12,600352,12.68,12.8,12.84,12.66,449010,572206912.0,1.42,0.63,0.08,1.38,12.766666666666666
2020-02-13,600352,12.74,12.56,12.83,12.52,497318,629322496.0,2.42,-1.88,-0.24,1.53,12.636666666666668
2020-02-14,600352,12.53,12.84,12.85,12.53,612902,779741072.0,2.55,2.23,0.28,1.88,12.74
2020-02-17,600352,12.87,13.16,13.17,12.86,689535,901830592.0,2.41,2.49,0.32,2.12,13.063333333333333
2020-02-18,600352,13.16,13.32,13.54,13.04,697934,930676208.0,3.8,1.22,0.16,2.15,13.299999999999999
2020-02-19,600352,13.31,13.2,13.45,13.15,466440,619824352.0,2.25,-0.9,-0.12,1.43,13.266666666666666
2020-02-20,600352,13.22,14.0,14.13,13.22,1307207,1796439744.0,6.89,6.06,0.8,4.02,13.783333333333333
2020-02-21,600352,13.99,13.85,13.99,13.75,696632,965484640.0,1.71,-1.07,-0.15,2.14,13.863333333333335
2020-02-24,600352,13.81,13.95,14.05,13.69,834319,1161502880.0,2.6,0.72,0.1,2.56,13.896666666666667
2020-02-25,600352,13.58,13.61,13.74,13.26,879763,1191653920.0,3.44,-2.44,-0.34,2.7,13.536666666666667
2020-02-26,600352,13.42,13.52,13.85,13.32,692882,943396320.0,3.89,-0.66,-0.09,2.13,13.563333333333333
2020-02-27,600352,13.64,13.59,13.79,13.56,518905,709184656.0,1.7,0.52,0.07,1.59,13.646666666666667
2020-02-28,600352,13.3,12.92,13.49,12.88,740197,972750064.0,4.49,-4.93,-0.67,2.28,13.096666666666666
2020-03-02,600352,13.23,13.91,13.97,13.23,1080597,1485791712.0,5.73,7.66,0.99,3.32,13.703333333333333
2020-03-03,600352,14.05,13.79,14.14,13.67,914918,1266784848.0,3.38,-0.86,-0.12,2.81,13.866666666666667
2020-03-04,600352,14.11,14.6,14.83,14.11,1825710,2652930960.0,5.22,5.87,0.81,5.61,14.513333333333334
2020-03-05,600352,14.77,15.35,15.58,14.39,2188667,3304964080.0,8.15,5.14,0.75,6.73,15.106666666666667
2020-03-06,600352,15.07,14.84,15.27,14.71,1353321,2021294272.0,3.65,-3.32,-0.51,4.16,14.94
2020-03-09,600352,14.55,14.11,14.55,14.08,1123449,1607627712.0,3.17,-4.92,-0.73,3.45,14.246666666666668
2020-03-10,600352,14.0,14.28,14.4,13.67,995414,1400344544.0,5.17,1.2,0.17,3.06,14.116666666666667
2020-03-11,600352,14.26,13.83,14.27,13.81,727219,1020480592.0,3.22,-3.15,-0.45,2.24,13.969999999999999
2020-03-12,600352,13.62,13.43,13.65,13.25,671677,903398896.0,2.89,-2.89,-0.4,2.06,13.443333333333333
2020-03-13,600352,12.8,13.1,13.31,12.66,1105291,1431151520.0,4.84,-2.46,-0.33,3.4,13.023333333333333
2020-03-16,600352,13.21,12.68,13.24,12.63,639846,828121056.0,4.66,-3.21,-0.42,1.97,12.85
2020-03-17,600352,12.72,12.75,12.89,12.28,569510,716953456.0,4.81,0.55,0.07,1.75,12.64
2020-03-18,600352,12.85,12.52,13.05,12.5,499345,640444880.0,4.31,-1.8,-0.23,1.53,12.69
2020-03-19,600352,12.5,12.51,12.65,12.26,470476,585438928.0,3.12,-0.08,-0.01,1.45,12.473333333333334
2020-03-20,600352,12.66,12.86,12.9,12.54,443676,563928480.0,2.88,2.8,0.35,1.36,12.766666666666666
2020-03-23,600352,12.5,12.25,12.55,12.22,475767,589857872.0,2.57,-4.74,-0.61,1.46,12.340000000000002
2020-03-24,600352,12.5,12.37,12.51,12.07,412774,507999904.0,3.59,0.98,0.12,1.27,12.316666666666665
