date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,601800,9.23,9.37,9.68,9.21,1416953,1337421248.0,5.13,2.29,0.21,1.21,9.42
2020-01-03,601800,9.4,9.34,9.52,9.27,868373,813598624.0,2.67,-0.32,-0.03,0.74,9.376666666666667
2020-01-06,601800,9.28,9.2,9.34,9.18,913894,845667872.0,1.71,-1.5,-0.14,0.78,9.24
2020-01-07,601800,9.22,9.21,9.24,9.15,549201,504743984.0,0.98,0.11,0.01,0.47,9.200000000000001
2020-01-08,601800,9.16,9.06,9.18,9.02,529010,481683424.0,1.74,-1.63,-0.15,0.45,9.086666666666666
2020-01-09,601800,9.15,9.13,9.16,9.06,406869,370458176.0,1.1,0.77,0.07,0.35,9.116666666666667
2020-01-10,601800,9.15,9.06,9.15,9.02,315185,285954656.0,1.42,-0.77,-0.07,0.27,9.076666666666668
2020-01-13,601800,9.07,9.1,9.12,9.01,418480,379134928.0,1.21,0.44,0.04,0.36,9.076666666666666
2020-01-14,601800,9.11,9.08,9.16,9.06,450248,410468400.0,1.1,-0.22,-0.02,0.38,9.1
2020-01-15,601800,9.09,8.86,9.1,8.86,576349,514241360.0,2.64,-2.42,-0.22,0.49,8.94
2020-01-16,601800,8.84,8.77,8.89,8.76,410332,361302784.0,1.47,-1.02,-0.09,0.35,8.806666666666667
2020-01-17,601800,8.78,8.78,8.85,8.75,256809,225959112.0,1.14,0.11,0.01,0.22,8.793333333333335
2020-01-20,601800,8.79,8.93,8.93,8.74,263926,233371419.0,2.16,1.71,0.15,0.22,8.866666666666667
2020-01-21,601800,8.93,8.73,8.94,8.7,348188,305930064.0,2.69,-2.24,-0.2,0.3,8.790000000000001
2020-01-22,601800,8.7,8.68,8.73,8.57,269847,233597839.0,1.83,-0.57,-0.05,0.23,8.66
2020-01-23,601800,8.62,8.4,8.66,8.35,430020,364941888.0,3.57,-3.23,-0.28,0.37,8.469999999999999
2020-02-03,601800,7.56,7.56,7.66,7.56,378916,286712896.0,1.19,-10.0,-0.84,0.32,7.593333333333333
2020-02-04,601800,7.31,7.49,7.61,7.31,435864,326758176.0,3.97,-0.93,-0.07,0.37,7.47
2020-02-05,601800,7.52,7.56,7.7,7.49,396407,301190000.0,2.8,0.93,0.07,0.34,7.583333333333333
2020-02-06,601800,7.6,7.64,7.69,7.51,394522,300084368.0,2.38,1.06,0.08,0.34,7.613333333333333
2020-02-07,601800,7.59,7.6,7.61,7.51,349370,264250377.0,1.31,-0.52,-0.04,0.3,7.573333333333333
2020-02-10,601800,7.55,7.81,7.86,7.54,436493,338110560.0,4.21,2.76,0.21,0.37,7.736666666666667
2020-02-11,601800,7.86,7.82,8.02,7.81,510644,403306560.0,2.69,0.13,0.01,0.43,7.883333333333333
2020-02-12,601800,7.8,7.88,7.9,7.77,301648,236739451.0,1.66,0.77,0.06,0.26,7.8500000000000005
2020-02-13,601800,7.9,7.9,8.04,7.85,420531,333738528.0,2.41,0.25,0.02,0.36,7.93
2020-02-14,601800,7.89,7.96,7.97,7.84,326336,258156674.0,1.65,0.76,0.06,0.28,7.923333333333333
2020-02-17,601800,7.96,8.09,8.1,7.95,404177,324340544.0,1.88,1.63,0.13,0.34,8.046666666666667
2020-02-18,601800,8.1,8.0,8.14,7.97,507522,407130704.0,2.1,-1.11,-0.09,0.43,8.036666666666667
2020-02-19,601800,7.99,8.0,8.15,7.94,548848,439810048.0,2.63,0.0,0.0,0.47,8.03
2020-02-20,601800,7.96,8.07,8.08,7.89,673803,538482976.0,2.38,0.88,0.07,0.57,8.013333333333334
2020-02-21,601800,8.06,8.03,8.1,8.0,530202,426449072.0,1.24,-0.5,-0.04,0.45,8.043333333333335
2020-02-24,601800,8.05,7.96,8.06,7.91,504284,401370032.0,1.87,-0.87,-0.07,0.43,7.976666666666667
2020-02-25,601800,7.8,7.75,7.84,7.63,607781,471031744.0,2.64,-2.64,-0.21,0.52,7.739999999999999
2020-02-26,601800,7.65,8.52,8.53,7.63,2496097,2080473360.0,11.61,9.94,0.77,2.12,8.226666666666667
2020-02-27,601800,8.5,8.38,8.54,8.24,1670601,1400194128.0,3.52,-1.64,-0.14,1.42,8.386666666666668
2020-02-28,601800,8.2,8.73,8.98,8.11,2222989,1934687792.0,10.38,4.18,0.35,1.89,8.606666666666667
2020-03-02,601800,8.96,9.6,9.6,8.95,1837826,1715704976.0,7.45,9.97,0.87,1.56,9.383333333333333
2020-03-03,601800,10.23,10.05,10.25,9.53,3297439,3259546416.0,7.5,4.69,0.45,2.81,9.943333333333333
2020-03-04,601800,9.85,10.3,10.37,9.8,2092325,2116258832.0,5.67,2.49,0.25,1.78,10.156666666666668
2020-03-05,601800,10.26,10.01,10.26,9.96,1643191,1655383056.0,2.91,-2.82,-0.29,1.4,10.076666666666666
2020-03-06,601800,9.83,9.49,9.9,9.45,1683516,1614607648.0,4.5,-5.19,-0.52,1.43,9.613333333333335
2020-03-09,601800,9.22,9.21,9.35,9.05,1202027,1105531424.0,3.16,-2.95,-0.28,1.02,9.203333333333333
2020-03-10,601800,9.15,9.51,9.54,9.12,1244179,1162616576.0,4.56,3.26,0.3,1.06,9.389999999999999
2020-03-11,601800,9.4,9.18,9.49,9.16,918139,854231168.0,3.47,-3.47,-0.33,0.78,9.276666666666666
2020-03-12,601800,9.03,9.16,9.31,8.89,826010,750009968.0,4.58,-0.22,-0.02,0.7,9.120000000000001
2020-03-13,601800,8.71,8.99,9.15,8.71,781512,699499280.0,4.8,-1.86,-0.17,0.67,8.950000000000001
2020-03-16,601800,9.01,8.8,9.28,8.8,905734,818876288.0,5.34,-2.11,-0.19,0.77,8.959999999999999
2020-03-17,601800,9.05,8.93,9.1,8.58,708422,626441680.0,5.91,1.48,0.13,0.6,8.87
2020-03-18,601800,8.98,8.76,9.25,8.71,860797,773966704.0,6.05,-1.9,-0.17,0.73,8.906666666666666
2020-03-19,601800,8.8,8.46,8.85,8.19,952048,810527296.0,7.53,-3.42,-0.3,0.81,8.5
2020-03-20,601800,8.53,8.58,8.64,8.38,709730,603503664.0,3.07,1.42,0.12,0.6,8.533333333333333
2020-03-23,601800,8.25,8.11,8.37,8.06,676143,555504464.0,3.61,-5.48,-0.47,0.58,8.18
2020-03-24,601800,8.25,8.19,8.29,8.0,662502,540249008.0,3.58,0.99,0.08,0.56,8.159999999999998
2020-03-25,601800,8.36,8.37,8.39,8.18,1030843,856778640.0,2.56,2.2,0.18,0.88,8.313333333333333
2020-03-26,601800,8.25,8.15,8.27,8.12,559307,457884352.0,1.79,-2.63,-0.22,0.48,8.18
2020-03-27,601800,8.26,8.39,8.63,8.15,1542829,1299887104.0,5.89,2.94,0.24,1.31,8.39
2020-03-30,601800,8.27,8.43,8.54,8.23,1255898,1055094464.0,3.69,0.48,0.04,1.07,8.4
