date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,002600,10.98,11.26,11.33,10.84,1100086,1229490576.0,4.52,3.78,0.41,6.38,11.143333333333333
2020-01-03,002600,11.25,11.58,11.86,11.21,1334811,1550484768.0,5.77,2.84,0.32,7.74,11.549999999999999
2020-01-06,002600,11.41,11.72,11.94,11.29,1177261,1377000336.0,5.61,1.21,0.14,6.83,11.649999999999999
2020-01-07,002600,11.8,11.78,11.89,11.54,897243,1049582560.0,2.99,0.51,0.06,5.2,11.736666666666666
2020-01-08,002600,11.57,11.92,12.35,11.5,1470864,1761365040.0,7.22,1.19,0.14,8.53,11.923333333333334
2020-01-09,002600,12.11,12.19,12.23,11.81,1139133,1369538896.0,3.52,2.27,0.27,6.61,12.076666666666666
2020-01-10,002600,12.22,11.9,12.43,11.73,1048289,1260086624.0,5.74,-2.38,-0.29,6.08,12.020000000000001
2020-01-13,002600,11.82,12.1,12.1,11.68,988584,1178624912.0,3.53,1.68,0.2,5.73,11.96
2020-01-14,002600,12.0,11.82,12.17,11.8,885435,1054251904.0,3.06,-2.31,-0.28,5.14,11.93
2020-01-15,002600,11.77,11.84,11.86,11.6,640971,750487808.0,2.2,0.17,0.02,3.72,11.766666666666666
2020-01-16,002600,11.92,12.73,13.02,11.92,2239744,2841987184.0,9.29,7.52,0.89,12.99,12.556666666666667
2020-01-17,002600,12.69,12.6,13.1,12.46,1504143,1924769568.0,5.03,-1.02,-0.13,8.72,12.72
2020-01-20,002600,12.85,13.22,13.46,12.6,1910530,2490463872.0,6.83,4.92,0.62,11.08,13.093333333333334
2020-01-21,002600,13.07,12.91,13.15,12.84,1083229,1405993904.0,2.34,-2.34,-0.31,6.28,12.966666666666669
2020-01-22,002600,13.0,13.2,13.41,12.35,1543584,1995927328.0,8.21,2.25,0.29,8.95,12.986666666666665
2020-01-23,002600,12.97,12.96,13.55,12.64,1323879,1726346688.0,6.89,-1.82,-0.24,7.68,13.050000000000002
2020-02-03,002600,11.66,11.66,11.66,11.66,109581,127771446.0,0.0,-10.03,-1.3,0.64,11.660000000000002
2020-02-04,002600,10.54,11.51,11.87,10.54,1349100,1542846256.0,11.41,-1.29,-0.15,7.82,11.306666666666665
2020-02-05,002600,11.5,11.63,12.02,11.43,1138595,1335439232.0,5.13,1.04,0.12,6.6,11.693333333333333
2020-02-06,002600,11.5,11.56,11.73,11.15,1455595,1658701520.0,4.99,-0.6,-0.07,8.44,11.480000000000002
2020-02-07,002600,11.35,11.21,11.5,10.97,1333702,1496475056.0,4.58,-3.03,-0.35,7.74,11.226666666666667
2020-02-10,002600,11.0,11.28,11.45,10.8,1492190,1653395280.0,5.8,0.62,0.07,8.65,11.176666666666668
2020-02-11,002600,11.39,12.04,12.4,11.19,2606423,3061414160.0,10.73,6.74,0.76,15.12,11.876666666666665
2020-02-12,002600,11.8,11.95,11.98,11.63,1536873,1818754304.0,2.91,-0.75,-0.09,8.91,11.853333333333333
2020-02-13,002600,11.87,11.78,12.03,11.6,1172841,1382776320.0,3.6,-1.42,-0.17,6.8,11.803333333333333
2020-02-14,002600,11.78,11.94,12.25,11.72,1369087,1643916416.0,4.5,1.36,0.16,7.94,11.969999999999999
2020-02-17,002600,12.44,12.41,12.65,12.21,1574495,1954200816.0,3.69,3.94,0.47,9.13,12.423333333333332
2020-02-18,002600,12.42,12.79,12.94,12.27,1804293,2280565424.0,5.4,3.06,0.38,10.46,12.666666666666666
2020-02-19,002600,12.6,12.39,12.68,12.36,1390463,1737026176.0,2.5,-3.13,-0.4,8.06,12.476666666666667
2020-02-20,002600,12.38,12.94,13.09,12.25,1810323,2298469136.0,6.78,4.44,0.55,10.5,12.76
2020-02-21,002600,12.95,13.14,13.66,12.78,2078214,2729451808.0,6.8,1.55,0.2,12.05,13.193333333333333
2020-02-24,002600,13.13,13.73,13.78,12.9,1981340,2646694016.0,6.7,4.49,0.59,11.49,13.469999999999999
2020-02-25,002600,13.3,13.44,13.69,12.62,1826098,2436345648.0,7.79,-2.11,-0.29,10.59,13.25
2020-02-26,002600,13.1,12.51,13.26,12.41,1508706,1940286336.0,6.32,-6.92,-0.93,8.75,12.726666666666667
2020-02-27,002600,12.66,12.42,12.75,12.1,927801,1155076848.0,5.2,-0.72,-0.09,5.38,12.423333333333334
2020-02-28,002600,11.94,11.33,12.22,11.2,1471054,1724914688.0,8.21,-8.78,-1.09,8.53,11.583333333333334
2020-03-02,002600,11.54,11.8,11.94,11.47,979995,1148664288.0,4.15,4.15,0.47,5.68,11.736666666666666
2020-03-03,002600,12.06,12.11,12.51,11.9,1302355,1594288560.0,5.17,2.63,0.31,7.55,12.173333333333332
2020-03-04,002600,11.9,11.94,12.06,11.55,943483,1117332464.0,4.21,-1.4,-0.17,5.47,11.85
2020-03-05,002600,12.2,11.95,12.25,11.79,802834,962154368.0,3.85,0.08,0.01,4.66,11.996666666666664
2020-03-06,002600,11.79,11.85,12.07,11.69,675263,799868128.0,3.18,-0.84,-0.1,3.92,11.87
2020-03-09,002600,11.6,11.05,11.72,11.0,1101238,1243620288.0,6.08,-6.75,-0.8,6.39,11.256666666666666
2020-03-10,002600,10.75,11.34,11.44,10.54,1554883,1711753520.0,8.14,2.62,0.29,9.02,11.106666666666664
2020-03-11,002600,11.4,11.0,11.49,10.98,937211,1052895632.0,4.5,-3.0,-0.34,5.44,11.156666666666666
2020-03-12,002600,10.7,10.48,10.84,10.27,1039255,1099412784.0,5.18,-4.73,-0.52,6.03,10.53
2020-03-13,002600,9.8,10.3,10.62,9.64,1126647,1136158720.0,9.35,-1.72,-0.18,6.53,10.186666666666666
2020-03-16,002600,10.39,9.27,10.44,9.27,1692267,1648533680.0,11.36,-10.0,-1.03,9.82,9.66
2020-03-17,002600,9.2,8.93,9.47,8.5,1698154,1506460752.0,10.46,-3.67,-0.34,9.85,8.966666666666667
2020-03-18,002600,9.02,9.02,9.55,8.96,1831622,1697481664.0,6.61,1.01,0.09,10.62,9.176666666666668
2020-03-19,002600,9.14,9.18,9.27,8.78,1244905,1125918592.0,5.43,1.77,0.16,7.22,9.076666666666666
