date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,601328,5.66,5.68,5.71,5.66,1204575,685020624.0,0.89,0.89,0.05,0.31,5.683333333333334
2020-01-03,601328,5.7,5.69,5.7,5.68,792264,450865568.0,0.35,0.18,0.01,0.2,5.69
2020-01-06,601328,5.68,5.66,5.7,5.65,1102799,626513152.0,0.88,-0.53,-0.03,0.28,5.670000000000001
2020-01-07,601328,5.67,5.69,5.72,5.66,1009756,574954032.0,1.06,0.53,0.03,0.26,5.69
2020-01-08,601328,5.67,5.64,5.67,5.63,884545,499286960.0,0.7,-0.88,-0.05,0.23,5.646666666666667
2020-01-09,601328,5.66,5.65,5.68,5.64,705748,399162560.0,0.71,0.18,0.01,0.18,5.656666666666666
2020-01-10,601328,5.66,5.64,5.67,5.63,479807,270749376.0,0.71,-0.18,-0.01,0.12,5.646666666666667
2020-01-13,601328,5.65,5.65,5.66,5.62,488642,275512288.0,0.71,0.18,0.01,0.12,5.6433333333333335
2020-01-14,601328,5.65,5.67,5.7,5.65,601794,341406064.0,0.88,0.35,0.02,0.15,5.673333333333335
2020-01-15,601328,5.66,5.62,5.67,5.62,488394,275547632.0,0.88,-0.88,-0.05,0.12,5.636666666666667
2020-01-16,601328,5.63,5.61,5.64,5.61,441677,248381076.0,0.53,-0.18,-0.01,0.11,5.62
2020-01-17,601328,5.63,5.61,5.65,5.6,428989,241107659.0,0.89,0.0,0.0,0.11,5.62
2020-01-20,601328,5.61,5.62,5.63,5.6,505937,284188336.0,0.53,0.18,0.01,0.13,5.616666666666667
2020-01-21,601328,5.61,5.57,5.62,5.56,680068,379461168.0,1.07,-0.89,-0.05,0.17,5.583333333333333
2020-01-22,601328,5.57,5.54,5.57,5.51,757746,419683872.0,1.08,-0.54,-0.03,0.19,5.54
2020-01-23,601328,5.53,5.47,5.53,5.46,1072207,588704240.0,1.26,-1.26,-0.07,0.27,5.486666666666667
2020-02-03,601328,5.05,5.11,5.25,5.05,1897131,975191232.0,3.66,-6.58,-0.36,0.48,5.136666666666667
2020-02-04,601328,5.13,5.2,5.25,5.12,1293022,669851264.0,2.54,1.76,0.09,0.33,5.19
2020-02-05,601328,5.21,5.2,5.24,5.16,926676,482256464.0,1.54,0.0,0.0,0.24,5.2
2020-02-06,601328,5.22,5.24,5.26,5.18,959284,500139568.0,1.54,0.77,0.04,0.24,5.226666666666667
2020-02-07,601328,5.22,5.25,5.27,5.2,668534,349125376.0,1.34,0.19,0.01,0.17,5.239999999999999
2020-02-10,601328,5.23,5.23,5.26,5.22,606223,317464880.0,0.76,-0.38,-0.02,0.15,5.236666666666667
2020-02-11,601328,5.24,5.26,5.29,5.23,670716,353177952.0,1.15,0.57,0.03,0.17,5.26
2020-02-12,601328,5.26,5.28,5.28,5.25,427802,225353462.0,0.57,0.38,0.02,0.11,5.2700000000000005
2020-02-13,601328,5.27,5.24,5.29,5.24,518860,273397472.0,0.95,-0.76,-0.04,0.13,5.256666666666667
2020-02-14,601328,5.24,5.28,5.29,5.23,448306,236161732.0,1.15,0.76,0.04,0.11,5.266666666666667
2020-02-17,601328,5.27,5.34,5.35,5.27,580857,308585760.0,1.52,1.14,0.06,0.15,5.319999999999999
2020-02-18,601328,5.33,5.31,5.36,5.3,563526,299950112.0,1.12,-0.56,-0.03,0.14,5.323333333333333
2020-02-19,601328,5.31,5.32,5.34,5.3,529791,281853008.0,0.75,0.19,0.01,0.13,5.32
2020-02-20,601328,5.31,5.35,5.37,5.29,798747,425107936.0,1.5,0.56,0.03,0.2,5.336666666666666
