date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,300059,16.1,15.9,16.18,15.83,3016044,4838053376.0,2.22,0.82,0.13,5.54,15.969999999999999
2020-01-03,300059,15.89,16.0,16.16,15.83,1892724,3024522224.0,2.08,0.63,0.1,3.48,15.996666666666668
2020-01-06,300059,15.86,16.15,16.45,15.83,2689110,4335189504.0,3.88,0.94,0.15,4.94,16.143333333333334
2020-01-07,300059,16.15,16.14,16.25,15.86,2020087,3244565952.0,2.41,-0.06,-0.01,3.71,16.083333333333332
2020-01-08,300059,15.99,15.54,15.99,15.53,2092826,3301142864.0,2.85,-3.72,-0.6,3.84,15.686666666666667
2020-01-09,300059,15.89,16.01,16.1,15.86,2065534,3297195488.0,1.54,3.02,0.47,3.79,15.99
2020-01-10,300059,16.3,16.11,16.36,16.02,2581245,4181775120.0,2.12,0.62,0.1,4.74,16.16333333333333
2020-01-13,300059,15.83,16.19,16.19,15.68,2204026,3504645952.0,3.17,0.5,0.08,4.05,16.02
2020-01-14,300059,16.22,15.87,16.3,15.84,1617495,2600530000.0,2.84,-1.98,-0.32,2.97,16.003333333333334
2020-01-15,300059,15.82,15.75,15.96,15.7,1227334,1938272864.0,1.64,-0.76,-0.12,2.25,15.803333333333333
2020-01-16,300059,15.8,15.7,15.83,15.68,931875,1466140784.0,0.95,-0.32,-0.05,1.71,15.736666666666665
2020-01-17,300059,15.79,15.75,16.0,15.72,1135910,1799277904.0,1.78,0.32,0.05,2.09,15.823333333333332
2020-01-20,300059,15.74,16.03,16.05,15.74,1492427,2379620288.0,1.97,1.78,0.28,2.74,15.94
2020-01-21,300059,15.92,15.6,15.95,15.53,1722311,2711396224.0,2.62,-2.68,-0.43,3.16,15.693333333333333
2020-01-22,300059,15.5,15.87,15.95,15.35,1888976,2961876528.0,3.85,1.73,0.27,3.47,15.723333333333331
2020-01-23,300059,15.6,15.08,15.77,14.9,2444972,3750783744.0,5.48,-4.98,-0.79,4.49,15.25
2020-02-03,300059,13.57,13.57,13.57,13.57,361203,490152464.0,0.0,-10.01,-1.51,0.66,13.57
2020-02-04,300059,13.0,13.55,13.77,13.0,3163301,4256429712.0,5.67,-0.15,-0.02,5.81,13.44
2020-02-05,300059,13.65,13.86,14.2,13.51,2510474,3475782336.0,5.09,2.29,0.31,4.61,13.856666666666667
2020-02-06,300059,13.8,14.62,14.77,13.71,3604743,5148375040.0,7.65,5.48,0.76,6.62,14.366666666666667
2020-02-07,300059,14.45,14.62,14.71,14.39,2267482,3299786288.0,2.19,0.0,0.0,4.16,14.573333333333332
2020-02-10,300059,14.56,14.7,14.9,14.47,1752240,2572921904.0,2.94,0.55,0.08,3.22,14.69
2020-02-11,300059,14.83,14.56,14.93,14.55,1465764,2156235440.0,2.59,-0.95,-0.14,2.69,14.68
2020-02-12,300059,14.46,14.99,15.08,14.46,2315963,3431309024.0,4.26,2.95,0.43,4.25,14.843333333333334
2020-02-13,300059,14.9,14.64,15.06,14.59,1793530,2649260304.0,3.14,-2.33,-0.35,3.29,14.763333333333334
2020-02-14,300059,14.7,15.3,15.86,14.63,4275734,6545694464.0,8.4,4.51,0.66,7.85,15.263333333333335
2020-02-17,300059,15.8,15.91,16.03,15.54,4114007,6499286016.0,3.2,3.99,0.61,7.55,15.826666666666668
2020-02-18,300059,15.82,15.74,16.0,15.58,2520141,3974813872.0,2.64,-1.07,-0.17,4.63,15.773333333333333
2020-02-19,300059,15.7,15.76,16.19,15.65,2839204,4526413056.0,3.43,0.13,0.02,5.21,15.866666666666667
2020-02-20,300059,15.87,17.34,17.34,15.75,4794105,7938635008.0,10.09,10.03,1.58,8.8,16.810000000000002
2020-02-21,300059,18.26,18.5,19.06,17.91,7966523,14695740928.0,6.63,6.69,1.16,14.63,18.49
