date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,603833,117.0,116.68,119.79,116.14,9160,108071980.0,3.12,-0.27,-0.32,0.97,117.53666666666668
2020-01-03,603833,117.0,116.54,118.9,115.2,12098,140525789.0,3.17,-0.12,-0.14,1.28,116.88000000000001
2020-01-06,603833,114.0,114.0,117.0,113.64,16478,189027440.0,2.88,-2.18,-2.54,1.74,114.88
2020-01-07,603833,115.5,116.6,117.58,113.02,10414,120059990.0,4.0,2.28,2.6,1.1,115.73333333333333
2020-01-08,603833,115.26,116.4,117.5,114.0,8825,102422624.0,3.0,-0.17,-0.2,0.93,115.96666666666665
2020-01-09,603833,116.5,119.0,119.28,116.4,10787,127607884.0,2.47,2.23,2.6,1.14,118.22666666666667
2020-01-10,603833,119.0,119.25,119.48,117.67,5678,67441345.0,1.52,0.21,0.25,0.6,118.8
2020-01-13,603833,116.5,116.78,118.24,113.88,13081,151892114.0,3.66,-2.07,-2.47,1.38,116.3
2020-01-14,603833,117.0,113.7,117.0,113.0,14687,168552579.0,3.43,-2.64,-3.08,1.55,114.56666666666666
2020-01-15,603833,113.7,113.62,114.78,111.21,10512,118816623.0,3.14,-0.07,-0.08,1.11,113.20333333333333
2020-01-16,603833,115.0,117.55,120.5,114.63,21818,257063042.0,5.17,3.46,3.93,2.31,117.56
2020-01-17,603833,118.1,121.0,121.51,117.56,19737,237374555.0,3.36,2.93,3.45,2.09,120.02333333333333
2020-01-20,603833,121.28,124.36,125.15,118.47,19096,235637208.0,5.52,2.78,3.36,2.02,122.66000000000001
2020-01-21,603833,124.23,122.1,125.0,121.0,9973,122598876.0,3.22,-1.82,-2.26,1.05,122.7
2020-01-22,603833,118.06,119.76,121.11,115.25,18740,221176635.0,4.8,-1.92,-2.34,1.98,118.70666666666666
2020-01-23,603833,117.74,113.0,118.37,110.14,21875,250184534.0,6.87,-5.64,-6.76,2.31,113.83666666666666
2020-02-03,603833,101.7,103.4,104.41,101.7,26893,274967712.0,2.4,-8.5,-9.6,2.84,103.17
2020-02-04,603833,105.0,107.24,108.88,105.0,19490,209030707.0,3.75,3.71,3.84,2.06,107.04
2020-02-05,603833,107.23,108.0,111.6,104.61,28156,301032976.0,6.52,0.71,0.76,2.98,108.07
2020-02-06,603833,108.98,110.41,111.0,105.01,22834,245560413.0,5.55,2.23,2.41,2.41,108.80666666666666
2020-02-07,603833,108.68,109.0,110.39,105.71,19370,208562862.0,4.24,-1.28,-1.41,2.05,108.36666666666667
2020-02-10,603833,107.88,107.0,107.88,105.2,22929,244503285.0,2.46,-1.83,-2.0,2.42,106.69333333333333
2020-02-11,603833,107.0,109.0,111.6,106.0,23066,250523567.0,5.23,1.87,2.0,2.44,108.86666666666667
2020-02-12,603833,109.0,113.85,114.39,107.5,18056,201123834.0,6.32,4.45,4.85,1.91,111.91333333333334
2020-02-13,603833,113.23,111.8,116.62,111.0,14771,167264280.0,4.94,-1.8,-2.05,1.56,113.14
2020-02-14,603833,113.66,114.96,115.5,111.91,11957,136849255.0,3.21,2.83,3.16,1.26,114.12333333333333
2020-02-17,603833,113.0,114.75,116.19,112.66,15891,181992833.0,3.07,-0.18,-0.21,1.68,114.53333333333335
2020-02-18,603833,115.0,116.51,118.2,114.86,17554,204938519.0,2.91,1.53,1.76,1.86,116.52333333333333
2020-02-19,603833,118.8,121.48,123.31,116.0,17509,207945279.0,6.27,4.27,4.97,1.85,120.26333333333334
2020-02-20,603833,121.0,120.2,122.75,119.26,11231,135009675.0,2.87,-1.05,-1.28,1.19,120.73666666666666
2020-02-21,603833,120.01,118.0,120.87,116.05,18093,212691695.0,4.01,-1.83,-2.2,1.91,118.30666666666667
2020-02-24,603833,116.67,114.24,117.79,112.98,24669,281927088.0,4.08,-3.19,-3.76,2.61,115.00333333333333
2020-02-25,603833,112.01,113.41,115.69,112.01,19650,223181854.0,3.22,-0.73,-0.83,2.08,113.70333333333333
2020-02-26,603833,111.0,111.66,117.38,111.0,19674,224421727.0,5.63,-1.54,-1.75,2.08,113.34666666666665
2020-02-27,603833,112.79,113.99,115.33,110.79,16836,191563600.0,4.07,2.09,2.33,1.78,113.37
2020-02-28,603833,111.57,110.16,113.93,105.0,21894,243940513.0,7.83,-3.36,-3.83,2.31,109.69666666666667
2020-03-02,603833,110.06,115.03,115.88,110.06,18101,206150193.0,5.28,4.42,4.87,1.91,113.65666666666668
2020-03-03,603833,116.88,117.0,117.94,114.88,16518,192385874.0,2.66,1.71,1.97,1.75,116.60666666666667
