date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,601100,49.76,49.91,50.71,49.3,32414,161737885.0,2.83,0.32,0.16,0.37,49.97333333333333
2020-01-03,601100,49.91,48.49,49.91,48.3,32324,158069539.0,3.23,-2.85,-1.42,0.37,48.9
2020-01-06,601100,48.0,47.03,49.1,46.47,61005,291775568.0,5.42,-3.01,-1.46,0.69,47.53333333333333
2020-01-07,601100,47.2,47.22,47.88,46.97,30252,143271293.0,1.93,0.4,0.19,0.34,47.35666666666666
2020-01-08,601100,47.09,46.28,47.5,46.21,29793,139270467.0,2.73,-1.99,-0.94,0.34,46.663333333333334
2020-01-09,601100,47.0,48.11,48.18,46.39,48205,227727174.0,3.87,3.95,1.83,0.55,47.56
2020-01-10,601100,48.36,50.0,50.68,48.15,50560,249596871.0,5.26,3.93,1.89,0.57,49.60999999999999
2020-01-13,601100,49.84,49.54,50.41,49.13,28600,142009042.0,2.56,-0.92,-0.46,0.32,49.69333333333333
2020-01-14,601100,49.78,48.98,49.83,48.24,27902,135957291.0,3.21,-1.13,-0.56,0.32,49.01666666666666
2020-01-15,601100,49.02,48.6,49.1,48.03,24082,116882236.0,2.18,-0.78,-0.38,0.27,48.57666666666666
2020-01-16,601100,49.1,48.52,49.8,48.1,27619,134905839.0,3.5,-0.16,-0.08,0.31,48.80666666666667
2020-01-17,601100,48.5,49.34,50.56,48.3,49816,248124675.0,4.66,1.69,0.82,0.56,49.4
2020-01-20,601100,49.27,50.02,51.16,49.07,32024,160562747.0,4.24,1.38,0.68,0.36,50.083333333333336
2020-01-21,601100,51.68,50.79,51.79,49.57,70936,362031296.0,4.44,1.54,0.77,0.8,50.71666666666667
2020-01-22,601100,51.62,52.08,52.5,50.0,50621,259802923.0,4.92,2.54,1.29,0.57,51.526666666666664
2020-01-23,601100,52.0,50.49,53.37,49.16,50598,259418675.0,8.08,-3.05,-1.59,0.57,51.00666666666667
2020-02-03,601100,45.44,45.44,46.86,45.44,26458,120503353.0,2.81,-10.0,-5.05,0.3,45.913333333333334
2020-02-04,601100,43.28,47.9,48.18,43.28,75922,349804816.0,10.78,5.41,2.46,0.86,46.45333333333334
2020-02-05,601100,47.74,47.21,49.5,46.8,63415,302412928.0,5.64,-1.44,-0.69,0.72,47.836666666666666
2020-02-06,601100,47.36,46.5,47.4,45.99,51800,240765362.0,2.99,-1.5,-0.71,0.59,46.629999999999995
2020-02-07,601100,46.0,47.13,47.25,45.95,30747,143389682.0,2.8,1.35,0.63,0.35,46.77666666666667
2020-02-10,601100,47.03,48.26,48.98,46.72,58823,282868992.0,4.8,2.4,1.13,0.67,47.98666666666666
2020-02-11,601100,48.01,49.32,49.9,47.94,40144,197154275.0,4.06,2.2,1.06,0.46,49.053333333333335
2020-02-12,601100,49.22,50.51,50.93,49.0,51075,257384667.0,3.91,2.41,1.19,0.58,50.14666666666667
2020-02-13,601100,50.2,50.42,51.79,49.97,29412,149870861.0,3.6,-0.18,-0.09,0.33,50.72666666666667
2020-02-14,601100,50.42,52.66,53.45,50.42,49166,257985222.0,6.01,4.44,2.24,0.56,52.17666666666667
2020-02-17,601100,53.31,54.5,55.29,52.68,48718,263956593.0,4.96,3.49,1.84,0.55,54.156666666666666
2020-02-18,601100,54.5,55.55,56.05,52.92,34545,188757869.0,5.74,1.93,1.05,0.39,54.839999999999996
2020-02-19,601100,55.35,54.67,55.95,54.44,31356,172063395.0,2.72,-1.58,-0.88,0.36,55.02
2020-02-20,601100,55.88,53.71,55.88,52.41,58648,312901504.0,6.35,-1.76,-0.96,0.66,54.0
2020-02-21,601100,54.35,54.35,54.46,52.66,31225,167984260.0,3.35,1.19,0.64,0.35,53.82333333333333
2020-02-24,601100,53.61,54.86,55.82,53.24,38886,212879181.0,4.75,0.94,0.51,0.44,54.64000000000001
2020-02-25,601100,54.5,55.22,56.89,53.39,45444,250993168.0,6.38,0.66,0.36,0.52,55.166666666666664
2020-02-26,601100,55.18,54.08,55.77,53.62,33909,184533260.0,3.89,-2.06,-1.14,0.38,54.49
2020-02-27,601100,54.0,57.11,58.68,53.9,63291,362549248.0,8.84,5.6,3.03,0.72,56.56333333333333
2020-02-28,601100,56.0,58.0,60.5,54.95,60179,347305728.0,9.72,1.56,0.89,0.68,57.81666666666666
2020-03-02,601100,58.02,61.9,63.8,58.02,92139,569171968.0,9.97,6.72,3.9,1.04,61.24
2020-03-03,601100,63.7,59.98,63.7,59.35,63769,389160704.0,7.03,-3.1,-1.92,0.72,61.01
2020-03-04,601100,59.5,58.36,59.95,57.83,59612,349358832.0,3.53,-2.7,-1.62,0.68,58.71333333333333
2020-03-05,601100,59.0,57.97,59.07,57.5,43615,253714189.0,2.69,-0.67,-0.39,0.49,58.18
