date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,000661,453.0,442.4,453.32,441.95,21595,959478992.0,2.54,-1.03,-4.6,1.27,445.89000000000004
2020-01-03,000661,460.0,472.0,473.37,456.09,46109,2149330704.0,3.91,6.69,29.6,2.71,467.15333333333336
2020-01-06,000661,470.11,475.63,490.5,470.03,35342,1696854928.0,4.34,0.77,3.63,2.08,478.71999999999997
2020-01-07,000661,477.74,489.78,490.27,474.0,21624,1051442016.0,3.42,2.98,14.15,1.27,484.68333333333334
2020-01-08,000661,484.3,488.35,491.0,480.1,13726,668149952.0,2.23,-0.29,-1.43,0.81,486.48333333333335
2020-01-09,000661,490.0,488.4,492.94,483.1,17483,851804432.0,2.01,0.01,0.05,1.03,488.1466666666667
2020-01-10,000661,490.8,496.0,500.08,487.12,22427,1111973776.0,2.65,1.56,7.6,1.32,494.40000000000003
2020-01-13,000661,493.7,493.86,499.98,491.5,17453,862894400.0,1.71,-0.43,-2.14,1.03,495.1133333333334
2020-01-14,000661,492.0,468.3,492.99,468.0,38968,1845093856.0,5.06,-5.18,-25.56,2.29,476.43
2020-01-15,000661,469.77,486.7,490.99,468.7,22861,1104277136.0,4.76,3.93,18.4,1.34,482.13000000000005
2020-01-16,000661,488.0,488.51,492.0,478.01,15519,757573072.0,2.87,0.37,1.81,0.91,486.17333333333335
2020-01-17,000661,491.0,493.0,502.96,487.6,21181,1050882144.0,3.14,0.92,4.49,1.25,494.52
2020-01-20,000661,499.44,513.11,515.0,495.52,19881,1008747264.0,3.95,4.08,20.11,1.17,507.8766666666667
2020-01-21,000661,512.0,511.7,526.0,506.32,19050,978216064.0,3.84,-0.27,-1.41,1.12,514.6733333333333
2020-01-22,000661,513.1,517.0,520.86,503.4,17919,918409488.0,3.41,1.04,5.3,1.05,513.7533333333333
2020-01-23,000661,519.97,498.0,523.0,493.05,23078,1163843424.0,5.79,-3.68,-19.0,1.36,504.68333333333334
2020-02-03,000661,452.0,448.2,477.95,448.2,41864,1917624528.0,5.97,-10.0,-49.8,2.46,458.1166666666666
2020-02-04,000661,455.31,471.0,474.0,452.32,34302,1591865360.0,4.84,5.09,22.8,2.02,465.7733333333333
2020-02-05,000661,471.9,466.55,473.7,458.39,38242,1775261696.0,3.25,-0.94,-4.45,2.25,466.2133333333333
2020-02-06,000661,467.9,478.0,487.46,462.3,36207,1732905472.0,5.39,2.45,11.45,2.13,475.92
2020-02-07,000661,477.0,472.51,483.16,465.7,25850,1216845840.0,3.65,-1.15,-5.49,1.52,473.78999999999996
2020-02-10,000661,471.61,467.25,471.61,458.88,25468,1182221088.0,2.69,-1.11,-5.26,1.5,465.91333333333336
2020-02-11,000661,467.99,483.83,486.6,465.48,29181,1397125472.0,4.52,3.55,16.58,1.72,478.6366666666667
2020-02-12,000661,482.0,483.5,485.08,474.0,22348,1072312112.0,2.29,-0.07,-0.33,1.31,480.85999999999996
2020-02-13,000661,480.27,469.3,480.98,465.2,29411,1381460112.0,3.26,-2.94,-14.2,1.73,471.82666666666665
2020-02-14,000661,469.8,462.45,470.38,458.01,31892,1474453696.0,2.64,-1.46,-6.85,1.88,463.6133333333333
2020-02-17,000661,460.99,463.44,464.23,454.1,38906,1786804496.0,2.19,0.21,0.99,2.29,460.59
2020-02-18,000661,463.79,465.35,470.99,457.55,32202,1495428784.0,2.9,0.41,1.91,1.89,464.62999999999994
2020-02-19,000661,465.0,472.18,476.0,456.0,36723,1720326384.0,4.3,1.47,6.83,2.16,468.06
2020-02-20,000661,475.51,490.62,493.5,470.13,42145,2044505984.0,4.95,3.91,18.44,2.48,484.75
2020-02-21,000661,486.26,489.0,493.24,483.2,26804,1309335904.0,2.05,-0.33,-1.62,1.58,488.48
2020-02-24,000661,483.8,472.57,486.97,469.19,38065,1805238288.0,3.64,-3.36,-16.43,2.24,476.24333333333334
2020-02-25,000661,465.0,472.58,478.21,463.57,30240,1428860656.0,3.1,0.0,0.01,1.78,471.4533333333333
2020-02-26,000661,465.5,472.0,475.46,462.9,26567,1245047440.0,2.66,-0.12,-0.58,1.56,470.11999999999995
2020-02-27,000661,475.0,484.3,492.4,470.01,31019,1502195248.0,4.74,2.61,12.3,1.82,482.2366666666667
2020-02-28,000661,482.06,484.0,508.0,479.0,45570,2243778096.0,5.99,-0.06,-0.3,2.68,490.3333333333333
2020-03-02,000661,487.0,486.0,496.68,468.28,36176,1745174848.0,5.87,0.41,2.0,2.13,483.65333333333336
2020-03-03,000661,491.58,514.2,515.0,487.09,42874,2168468400.0,5.74,5.8,28.2,2.52,505.43
2020-03-04,000661,513.9,512.92,513.95,505.1,21651,1102748016.0,1.72,-0.25,-1.28,1.27,510.6566666666667
2020-03-05,000661,510.0,532.1,534.5,507.79,33418,1761472544.0,5.21,3.74,19.18,1.97,524.7966666666666
2020-03-06,000661,530.99,528.0,544.4,525.0,21867,1165424512.0,3.65,-0.77,-4.1,1.29,532.4666666666667
2020-03-09,000661,519.11,511.09,527.95,506.71,28360,1462351568.0,4.02,-3.2,-16.91,1.67,515.25
2020-03-10,000661,509.91,514.35,519.14,498.78,23986,1221319776.0,3.98,0.64,3.26,1.41,510.75666666666666
